SOURCE CONTAINER	SOURCE CELL	BARCODE	DESTINATION CELL	AMOUNT	AMOUNT UNIT
	A01		A1	10	uL
	B01		C1	10	uL
	C01		E1	10	uL
	D01		G1	10	uL
	E01		I1	10	uL
	F01		K1	10	uL
	G01		M1	10	uL
	H01		O1	10	uL
	A02		A3	10	uL
	B02		C3	10	uL
	C02		E3	10	uL
	D02		G3	10	uL
	E02		I3	10	uL
	F02		K3	10	uL
	G02		M3	10	uL
	H02		O3	10	uL
	A03		A5	10	uL
	B03		C5	10	uL
	C03		E5	10	uL
	D03		G5	10	uL
	E03		I5	10	uL
	F03		K5	10	uL
	G03		M5	10	uL
	H03		O5	10	uL
	A04		A7	10	uL
	B04		C7	10	uL
	C04		E7	10	uL
	D04		G7	10	uL
	E04		I7	10	uL
	F04		K7	10	uL
	G04		M7	10	uL
	H04		O7	10	uL
	A05		A9	10	uL
	B05		C9	10	uL
	C05		E9	10	uL
	D05		G9	10	uL
	E05		I9	10	uL
	F05		K9	10	uL
	G05		M9	10	uL
	H05		O9	10	uL
	A06		A11	10	uL
	B06		C11	10	uL
	C06		E11	10	uL
	D06		G11	10	uL
	E06		I11	10	uL
	F06		K11	10	uL
	G06		M11	10	uL
	H06		O11	10	uL
	A07		A13	10	uL
	B07		C13	10	uL
	C07		E13	10	uL
	D07		G13	10	uL
	E07		I13	10	uL
	F07		K13	10	uL
	G07		M13	10	uL
	H07		O13	10	uL
	A08		A15	10	uL
	B08		C15	10	uL
	C08		E15	10	uL
	D08		G15	10	uL
	E08		I15	10	uL
	F08		K15	10	uL
	G08		M15	10	uL
	H08		O15	10	uL
	A09		A17	10	uL
	B09		C17	10	uL
	C09		E17	10	uL
	D09		G17	10	uL
	E09		I17	10	uL
	F09		K17	10	uL
	G09		M17	10	uL
	H09		O17	10	uL
	A10		A19	10	uL
	B10		C19	10	uL
	C10		E19	10	uL
	D10		G19	10	uL
	E10		I19	10	uL
	F10		K19	10	uL
	G10		M19	10	uL
	H10		O19	10	uL
	A11		A21	10	uL
	B11		C21	10	uL
	C11		E21	10	uL
	D11		G21	10	uL
	E11		I21	10	uL
	F11		K21	10	uL
	G11		M21	10	uL
	H11		O21	10	uL
	A12		A23	10	uL
	B12		C23	10	uL
	C12		E23	10	uL
	D12		G23	10	uL
	E12		I23	10	uL
	F12		K23	10	uL
	G12		M23	10	uL
	H12		O23	10	uL
	A01		A2	10	uL
	B01		C2	10	uL
	C01		E2	10	uL
	D01		G2	10	uL
	E01		I2	10	uL
	F01		K2	10	uL
	G01		M2	10	uL
	H01		O2	10	uL
	A02		A4	10	uL
	B02		C4	10	uL
	C02		E4	10	uL
	D02		G4	10	uL
	E02		I4	10	uL
	F02		K4	10	uL
	G02		M4	10	uL
